SK_ID_CURR,TARGET
100001,0.2970140432984718
100005,0.2970068478283675
100013,0.29699245711784855
100028,0.29696547559236824
100038,0.2969474888308157
100042,0.29694029433482344
100057,0.2969133155388369
100065,0.2968989275892471
100066,0.2968971290193427
100067,0.2968953306085675
100074,0.29688274071026705
100090,0.2968539674315435
100091,0.2968521691024301
100092,0.29685037078370324
100106,0.29682519507465766
100107,0.29682339684268244
100109,0.2968198003671774
100117,0.29680541416234
100128,0.29678563561341903
100141,0.29676226096338637
100150,0.29674607921558244
100168,0.29671371724091583
100169,0.2967119186183564
100170,0.29671012146579134
100171,0.29670832363689725
100172,0.2967065258774383
100184,0.2966849519592174
100187,0.2966795594539554
100212,0.2966346185763518
100222,0.2966166432304521
100223,0.2966148458339929
100232,0.29659866867928686
100241,0.29658249208312903
100245,0.2965753026553004
100253,0.2965609240645368
100256,0.2965555321557344
100271,0.2965285728555721
100278,0.29651599353465247
100280,0.29651239916570477
100306,0.2964656761111285
100311,0.29645669126511975
100312,0.296454893640111
100330,0.29642255063292333
100331,0.2964207538340977
100352,0.29638302227535757
100358,0.2963722423325167
100367,0.29635607285158555
100382,0.2963291248808973
100384,0.2963255319381904
100385,0.2963237354630508
100386,0.2963219390298689
100399,0.2962985855249123
100404,0.29628960367822665
100416,0.29626804801929946
100422,0.2962572704436773
100426,0.2962500855516681
100438,0.29622853153494727
100444,0.2962177541478678
100445,0.2962159588493136
100446,0.2962141627066504
100447,0.2962123658578612
100450,0.2962069776700604
100466,0.2961782423106477
100483,0.2961477119265721
100484,0.2961459160829414
100494,0.296127958021258
100510,0.2960992264053369
100512,0.2960956343003562
100517,0.29608665672216966
100548,0.29603099442111863
100551,0.2960256080439974
100552,0.29602381335861255
100553,0.2960220180023449
100561,0.29600765486766667
100568,0.295995087590206
100569,0.2959932922546436
100591,0.29595379702919183
100592,0.29595200112191866
100602,0.29593405064814
100607,0.29592507512385596
100613,0.29591430414049663
100617,0.29590712482073966
100618,0.2959053297762845
100622,0.2958981499428718
100625,0.2958927651053173
100677,0.2957994359889151
100699,0.2957599556995825
100702,0.2957545723457234
100711,0.29573842248787663
100729,0.2957061240542253
100740,0.295686387174107
100744,0.2956792102845639
100745,0.2956774160477569
100747,0.2956738277168569
100751,0.29566665115491625
100752,0.29566485689588834
100753,0.295663062803808
100754,0.2956612685977506
100760,0.2956505038967125
100762,0.2956469157133971
100763,0.2956451215905608
100765,0.2956415335040092
100770,0.29563256325706977
100772,0.29562897508021907
100777,0.29562000503835895
100791,0.29559488977378817
100792,0.2955930958753116
100797,0.2955841264794296
100823,0.2955374880303992
100826,0.29553210699626203
100830,0.29552493159397436
100836,0.29551417049708745
100872,0.2954496042862238
100910,0.295381459944756
100913,0.29537607972344193
100918,0.2953671148291501
100931,0.29534380506916547
100952,0.29530615306407093
100953,0.29530435957816914
100965,0.2952828461053248
100970,0.2952738814324716
100982,0.29525236935783283
100983,0.29525057661843884
100984,0.2952487839322476
100987,0.29524340586951736
100997,0.2952254796024333
100998,0.2952236869796833
101002,0.2952165166135583
101005,0.29521113892051903
101008,0.29520576128836046
101020,0.2951842513352197
101021,0.29518245887763267
101024,0.29517708164478107
101025,0.295175289158072
101026,0.29517349684272093
101031,0.29516453411690996
101041,0.2951466111626873
101051,0.2951286883384106
101055,0.2951215192777688
101056,0.2951197271294439
101057,0.2951179347581974
101064,0.29510538869499564
101079,0.2950785074504408
